Encoder,Scaler,Modelo,Melhores Params,Accuracy,Precision,Recall,F1-Score
OrdinalEncoder,StandardScaler,Random Forest,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9510658914728682,0.9510263107904592,0.9510658914728682,0.9508694039398564
OrdinalEncoder,MinMaxScaler,Random Forest,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9491279069767442,0.9490530457131476,0.9491279069767442,0.9489395295241113
GetDummies,MinMaxScaler,Random Forest,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9229651162790697,0.9248905709962341,0.9229651162790697,0.9217232351453924
GetDummies,StandardScaler,Random Forest,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9219961240310077,0.9233993096092329,0.9219961240310077,0.9208617296284068
OneHotEncoder,StandardScaler,Random Forest,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9147286821705426,0.9172146425367385,0.9147286821705426,0.9131275676061874
OneHotEncoder,MinMaxScaler,Random Forest,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9123062015503876,0.9144686955153882,0.9123062015503876,0.9107142294116821
